STATE,EESTATU,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,Salary Non-union,93,11536504,51710,0.8061,1.7985
Ohio,Salary Union,3,11536504,51710,0.026,0.058
Ohio,Salary Other,50,11536504,51710,0.4334,0.9669
Ohio,Hourly Non-union,12,11536504,51710,0.104,0.2321
Ohio,Hourly Union,1,11536504,51710,0.0087,0.0193
Ohio,Hourly Other,3,11536504,51710,0.026,0.058
Ohio,Non-union,2,11536504,51710,0.0173,0.0387
Ohio,Union,12,11536504,51710,0.104,0.2321
Ohio,Unknown,10,11536504,51710,0.0867,0.1934
Arkansas,Salary Non-union,17,2915918,6972,0.583,2.4383
Arkansas,Salary Other,2,2915918,6972,0.0686,0.2869
Arkansas,Hourly Non-union,1,2915918,6972,0.0343,0.1434
Arkansas,Non-union,3,2915918,6972,0.1029,0.4303
Arkansas,Union,1,2915918,6972,0.0343,0.1434
Arkansas,Salary Union,0,2915918,6972,0,0
Arkansas,Hourly Union,0,2915918,6972,0,0
Arkansas,Hourly Other,0,2915918,6972,0,0
Arkansas,Unknown,0,2915918,6972,0,0
New York,Salary Non-union,56,19378102,38153,0.289,1.4678
New York,Salary Union,1,19378102,38153,0.0052,0.0262
New York,Salary Other,23,19378102,38153,0.1187,0.6028
New York,Hourly Non-union,5,19378102,38153,0.0258,0.1311
New York,Hourly Union,3,19378102,38153,0.0155,0.0786
New York,Hourly Other,8,19378102,38153,0.0413,0.2097
New York,Non-union,6,19378102,38153,0.031,0.1573
New York,Union,1,19378102,38153,0.0052,0.0262
New York,Unknown,3,19378102,38153,0.0155,0.0786
Pennsylvania,Salary Non-union,48,12702379,29461,0.3779,1.6293
Pennsylvania,Salary Union,1,12702379,29461,0.0079,0.0339
Pennsylvania,Salary Other,15,12702379,29461,0.1181,0.5091
Pennsylvania,Hourly Non-union,4,12702379,29461,0.0315,0.1358
Pennsylvania,Hourly Other,1,12702379,29461,0.0079,0.0339
Pennsylvania,Non-union,4,12702379,29461,0.0315,0.1358
Pennsylvania,Union,1,12702379,29461,0.0079,0.0339
Pennsylvania,Unknown,4,12702379,29461,0.0315,0.1358
Pennsylvania,Hourly Union,0,12702379,29461,0,0
Georgia,Salary Non-union,131,9687653,68782,1.3522,1.9046
Georgia,Salary Union,1,9687653,68782,0.0103,0.0145
Georgia,Salary Other,21,9687653,68782,0.2168,0.3053
Georgia,Hourly Non-union,8,9687653,68782,0.0826,0.1163
Georgia,Hourly Union,1,9687653,68782,0.0103,0.0145
Georgia,Hourly Other,6,9687653,68782,0.0619,0.0872
Georgia,Non-union,5,9687653,68782,0.0516,0.0727
Georgia,Union,6,9687653,68782,0.0619,0.0872
Georgia,Unknown,8,9687653,68782,0.0826,0.1163
